txn_id,account_no,region,location,branch_code,txn_type,amount,status,device_type,customer_type,timestamp,fraud_type
TX00030,AC19016,North,Uttar Pradesh,BR136,UPI,44166.13,Success,tablet,Individual,2024-08-20 11:32:00,unauthorized_device
TX00031,AC96951,South,Karnataka,BR133,NEFT,37965.87,Failed,web,Corporate,2024-07-26 15:30:00,legit
TX00032,AC54942,North,Uttar Pradesh,BR164,MANDATE,87045.56,Success,mobile,Individual,2024-08-27 17:36:00,amount_tampering
TX00033,AC46265,South,Tamil Nadu,BR142,UPI,49730.06,Success,tablet,Individual,2024-08-10 05:12:00,legit
TX00034,AC66057,South,Tamil Nadu,BR109,UPI,28845.78,Success,tablet,Individual,2024-08-09 02:53:00,mandate_violation
TX00035,AC50404,East,West Bengal,BR145,UPI,66450.9,Success,mobile,Corporate,2024-08-20 23:05:00,legit
TX00036,AC63264,North,Punjab,BR120,UPI,25583.13,Failed,mobile,Individual,2024-07-31 05:40:00,legit
TX00037,AC63964,North,Uttar Pradesh,BR120,NEFT,54177.27,Success,mobile,Corporate,2024-07-21 05:54:00,incorrect_account
TX00038,AC70332,East,Bihar,BR129,UPI,10806.6,Success,web,Corporate,2024-07-30 21:05:00,unauthorized_device
TX00039,AC19099,East,Bihar,BR182,MANDATE,23436.28,Success,tablet,Individual,2024-07-11 11:58:00,legit
TX00040,AC44237,North,Uttar Pradesh,BR104,NEFT,53937.22,Success,tablet,Corporate,2024-08-09 17:19:00,legit
TX00041,AC77033,South,Andhra Pradesh,BR173,UPI,64769.33,Success,ATM,Individual,2024-08-17 07:46:00,legit
TX00042,AC80575,North,Uttar Pradesh,BR155,NEFT,53427.37,Failed,tablet,Corporate,2024-07-12 08:14:00,legit
TX00043,AC49363,East,Jharkhand,BR141,MANDATE,47687.03,Success,web,Individual,2024-08-08 06:28:00,legit
TX00044,AC59695,North,Uttar Pradesh,BR151,NEFT,43977.93,Success,web,Corporate,2024-08-22 18:59:00,legit
TX00045,AC52237,West,Goa,BR156,UPI,20429.56,Success,web,Individual,2024-07-26 19:56:00,legit
TX00046,AC92960,East,West Bengal,BR196,UPI,35603.12,Success,web,Individual,2024-07-14 09:53:00,duplicate_payment
TX00047,AC42092,West,Maharashtra,BR158,MANDATE,40787.22,Failed,web,Corporate,2024-08-14 23:59:00,amount_tampering
TX00048,AC29342,South,Tamil Nadu,BR199,MANDATE,71142.44,Success,ATM,Individual,2024-08-20 17:40:00,unauthorized_device
TX00049,AC25906,West,Gujarat,BR159,CHEQUE,56872.37,Pending,ATM,Corporate,2024-08-19 20:50:00,fake_cheque
TX00050,AC30861,West,Goa,BR133,UPI,14739.2,Success,tablet,Corporate,2024-08-27 01:09:00,incorrect_account
TX00051,AC67654,South,Kerala,BR130,CHEQUE,56481.68,Success,mobile,Individual,2024-07-14 17:29:00,incorrect_account
TX00052,AC30028,North,Delhi,BR153,MANDATE,42298.35,Success,ATM,Corporate,2024-07-06 16:01:00,incorrect_account
TX00053,AC65069,West,Maharashtra,BR197,MANDATE,36461.56,Success,tablet,Corporate,2024-08-05 11:56:00,legit
TX00054,AC64921,North,Haryana,BR128,CHEQUE,62233.53,Success,mobile,Corporate,2024-07-31 14:17:00,legit
TX00055,AC62994,North,Haryana,BR116,NEFT,70619.99,Failed,mobile,Individual,2024-08-28 12:06:00,fake_cheque
TX00056,AC70515,North,Delhi,BR133,MANDATE,68625.6,Success,ATM,Corporate,2024-07-31 17:16:00,legit
TX00057,AC59692,East,Jharkhand,BR132,NEFT,33215.65,Success,mobile,Corporate,2024-07-21 09:49:00,legit
TX00058,AC95426,South,Tamil Nadu,BR131,UPI,43815.75,Success,web,Individual,2024-07-12 11:44:00,fake_cheque
TX00059,AC24993,North,Haryana,BR189,CHEQUE,56625.27,Success,web,Individual,2024-07-15 21:45:00,legit
TX00060,AC24168,South,Kerala,BR173,MANDATE,69510.9,Success,web,Individual,2024-08-23 21:27:00,legit
TX00061,AC92213,North,Delhi,BR189,CHEQUE,40416.52,Failed,mobile,Individual,2024-08-01 14:28:00,legit
TX00062,AC96706,East,West Bengal,BR164,CHEQUE,46286.82,Success,ATM,Corporate,2024-07-10 14:33:00,fake_cheque
TX00063,AC57472,West,Gujarat,BR155,UPI,27873.3,Success,tablet,Corporate,2024-08-12 07:31:00,fake_cheque
TX00064,AC87656,East,Bihar,BR131,NEFT,26075.87,Success,ATM,Individual,2024-08-12 07:10:00,legit
TX00065,AC97580,West,Rajasthan,BR103,MANDATE,66250.52,Failed,web,Corporate,2024-07-20 07:22:00,timing_anomaly
TX00066,AC43862,East,Bihar,BR176,CHEQUE,77124.8,Success,web,Individual,2024-07-22 23:15:00,legit
TX00067,AC74038,North,Haryana,BR182,MANDATE,48559.8,Success,mobile,Individual,2024-07-27 18:46:00,incorrect_account
TX00068,AC41890,East,Bihar,BR160,CHEQUE,70070.66,Success,tablet,Corporate,2024-08-11 07:13:00,unauthorized_device
TX00069,AC42951,North,Delhi,BR192,UPI,57232.72,Success,web,Individual,2024-07-20 16:41:00,legit
TX00070,AC46241,East,West Bengal,BR124,CHEQUE,37097.6,Success,web,Corporate,2024-07-02 06:54:00,legit
TX00071,AC26591,East,West Bengal,BR106,CHEQUE,57227.91,Success,web,Corporate,2024-07-10 08:06:00,legit
TX00072,AC85243,East,Jharkhand,BR161,MANDATE,80760.73,Success,mobile,Corporate,2024-08-13 11:36:00,signature_mismatch
TX00073,AC18564,West,Goa,BR109,NEFT,49283.48,Success,tablet,Individual,2024-07-23 14:10:00,signature_mismatch
TX00074,AC64548,North,Haryana,BR157,MANDATE,81292.87,Success,ATM,Corporate,2024-08-21 18:11:00,legit
TX00075,AC89905,South,Karnataka,BR180,UPI,500.0,Success,mobile,Individual,2024-07-22 19:59:00,mandate_violation
TX00076,AC19838,North,Delhi,BR152,MANDATE,66438.05,Success,ATM,Corporate,2024-07-03 23:18:00,incorrect_account
TX00077,AC47056,West,Maharashtra,BR187,UPI,51740.94,Failed,web,Corporate,2024-07-11 10:43:00,legit
TX00078,AC94886,North,Uttar Pradesh,BR118,NEFT,44019.85,Success,tablet,Corporate,2024-08-09 23:20:00,mandate_violation
TX00079,AC49857,West,Rajasthan,BR164,MANDATE,51835.22,Success,mobile,Corporate,2024-07-30 08:07:00,legit
TX00080,AC13390,South,Karnataka,BR186,NEFT,10248.62,Pending,tablet,Individual,2024-07-16 22:42:00,fake_cheque
TX00081,AC95394,West,Rajasthan,BR123,MANDATE,45606.56,Success,ATM,Individual,2024-08-12 18:45:00,timing_anomaly
TX00082,AC53687,East,West Bengal,BR120,CHEQUE,57142.25,Success,ATM,Corporate,2024-08-06 10:48:00,legit
TX00083,AC82102,South,Andhra Pradesh,BR111,CHEQUE,79557.88,Success,mobile,Corporate,2024-08-16 20:09:00,legit
TX00084,AC10150,West,Goa,BR106,UPI,39634.6,Success,ATM,Corporate,2024-07-05 16:44:00,incorrect_account
TX00085,AC81987,North,Uttar Pradesh,BR156,MANDATE,33830.13,Success,web,Individual,2024-07-29 06:50:00,legit
TX00086,AC82384,West,Maharashtra,BR128,NEFT,39964.86,Success,mobile,Individual,2024-08-15 08:43:00,legit
TX00087,AC48254,East,Jharkhand,BR161,MANDATE,68308.04,Success,web,Corporate,2024-07-18 08:23:00,legit
TX00088,AC76616,North,Delhi,BR135,MANDATE,56575.02,Success,tablet,Individual,2024-07-26 17:52:00,legit
TX00089,AC86931,West,Gujarat,BR157,MANDATE,39404.8,Success,ATM,Corporate,2024-07-30 06:56:00,legit
TX00090,AC41300,West,Gujarat,BR199,MANDATE,60265.35,Success,ATM,Corporate,2024-08-05 03:24:00,legit
TX00091,AC95461,North,Haryana,BR104,UPI,51941.55,Success,tablet,Individual,2024-08-10 01:51:00,signature_mismatch
TX00092,AC69890,South,Karnataka,BR152,UPI,69372.9,Success,tablet,Corporate,2024-08-26 17:31:00,legit
TX00093,AC95175,South,Kerala,BR186,MANDATE,35958.94,Pending,ATM,Individual,2024-08-26 04:51:00,signature_mismatch
TX00094,AC92727,East,Odisha,BR195,NEFT,43446.76,Success,mobile,Individual,2024-08-10 09:13:00,mandate_violation
TX00095,AC49251,South,Tamil Nadu,BR141,NEFT,42157.84,Success,tablet,Corporate,2024-07-14 06:00:00,incorrect_account
TX00096,AC64008,North,Punjab,BR122,NEFT,20729.7,Success,ATM,Individual,2024-08-15 07:10:00,legit
TX00097,AC28758,North,Haryana,BR181,CHEQUE,55922.41,Success,mobile,Corporate,2024-07-27 04:20:00,legit
TX00098,AC30706,South,Andhra Pradesh,BR144,CHEQUE,55221.11,Success,ATM,Corporate,2024-08-11 13:58:00,legit
TX00099,AC36111,West,Goa,BR113,UPI,50102.27,Success,tablet,Corporate,2024-07-27 20:56:00,duplicate_payment
TX00100,AC96275,West,Rajasthan,BR101,NEFT,45308.26,Failed,ATM,Corporate,2024-07-21 22:42:00,legit
TX00101,AC56179,North,Punjab,BR179,CHEQUE,21692.59,Success,web,Individual,2024-08-27 02:42:00,legit
TX00102,AC50492,West,Maharashtra,BR174,CHEQUE,41587.09,Success,mobile,Corporate,2024-07-30 17:43:00,legit
TX00103,AC33021,North,Punjab,BR169,CHEQUE,43145.71,Success,tablet,Individual,2024-07-24 09:21:00,legit
TX00104,AC73156,East,Bihar,BR114,MANDATE,33954.45,Pending,web,Individual,2024-08-06 04:09:00,legit
TX00105,AC83048,East,West Bengal,BR150,NEFT,46774.29,Success,mobile,Corporate,2024-08-03 13:11:00,legit
TX00106,AC98125,East,Jharkhand,BR181,CHEQUE,58081.02,Success,web,Corporate,2024-07-03 06:40:00,legit
TX00107,AC83584,East,Odisha,BR182,NEFT,87723.72,Success,ATM,Corporate,2024-08-29 02:17:00,amount_tampering
TX00108,AC28320,South,Tamil Nadu,BR138,MANDATE,53491.56,Success,web,Individual,2024-08-05 09:00:00,fake_cheque
TX00109,AC97881,West,Gujarat,BR153,NEFT,55151.01,Success,ATM,Corporate,2024-07-03 23:28:00,legit
TX00110,AC38477,West,Goa,BR130,CHEQUE,48511.08,Success,tablet,Corporate,2024-07-06 12:16:00,amount_tampering
TX00111,AC34878,South,Andhra Pradesh,BR111,UPI,11624.58,Success,mobile,Individual,2024-07-31 08:33:00,incorrect_account
TX00112,AC26505,North,Delhi,BR197,UPI,49469.72,Success,web,Corporate,2024-07-14 10:20:00,legit
TX00113,AC88116,South,Kerala,BR118,UPI,51204.6,Success,web,Individual,2024-07-03 08:19:00,mandate_violation
TX00114,AC56955,North,Uttar Pradesh,BR102,UPI,99264.84,Success,web,Corporate,2024-08-17 21:15:00,signature_mismatch
TX00115,AC18330,West,Goa,BR199,CHEQUE,46152.78,Success,mobile,Corporate,2024-08-15 20:39:00,incorrect_account
TX00116,AC90623,South,Kerala,BR158,NEFT,56030.95,Success,ATM,Corporate,2024-08-08 19:12:00,legit
TX00117,AC74260,West,Maharashtra,BR110,CHEQUE,49305.76,Success,mobile,Individual,2024-07-26 00:46:00,legit
TX00118,AC86724,East,Jharkhand,BR176,CHEQUE,26626.44,Success,ATM,Individual,2024-07-11 09:56:00,legit
TX00119,AC95316,North,Haryana,BR157,UPI,72856.46,Success,ATM,Corporate,2024-08-07 20:44:00,legit
TX00120,AC50966,West,Rajasthan,BR185,CHEQUE,65038.66,Success,web,Corporate,2024-07-07 02:39:00,signature_mismatch
TX00121,AC21188,South,Andhra Pradesh,BR112,CHEQUE,65820.64,Success,mobile,Corporate,2024-07-12 03:01:00,amount_tampering
TX00122,AC97207,West,Maharashtra,BR136,CHEQUE,31812.25,Success,web,Individual,2024-08-29 18:39:00,fake_cheque
TX00123,AC24184,East,Bihar,BR114,CHEQUE,78055.89,Success,ATM,Individual,2024-08-25 10:22:00,legit
TX00124,AC45054,South,Karnataka,BR134,CHEQUE,21962.98,Failed,tablet,Individual,2024-07-17 12:17:00,legit
TX00125,AC84228,West,Maharashtra,BR118,NEFT,61737.14,Success,web,Corporate,2024-08-08 05:08:00,fake_cheque
TX00126,AC30631,East,Bihar,BR192,CHEQUE,93809.11,Success,mobile,Individual,2024-07-15 03:52:00,mandate_violation
TX00127,AC90981,South,Tamil Nadu,BR134,MANDATE,30189.27,Success,ATM,Corporate,2024-08-07 16:47:00,unauthorized_device
TX00128,AC77154,South,Kerala,BR155,NEFT,38674.05,Success,ATM,Corporate,2024-07-05 03:12:00,incorrect_account
TX00129,AC88554,South,Tamil Nadu,BR126,CHEQUE,51993.03,Failed,web,Corporate,2024-07-27 08:18:00,timing_anomaly
TX00130,AC11013,West,Goa,BR122,UPI,39930.49,Success,web,Corporate,2024-07-07 13:27:00,amount_tampering
TX00131,AC15544,West,Maharashtra,BR158,NEFT,18986.73,Failed,ATM,Corporate,2024-08-28 06:24:00,amount_tampering
TX00132,AC25096,West,Maharashtra,BR141,UPI,51371.26,Success,ATM,Corporate,2024-07-09 00:31:00,fake_cheque
TX00133,AC23875,North,Haryana,BR175,MANDATE,28753.93,Success,ATM,Corporate,2024-07-31 21:40:00,incorrect_account
TX00134,AC32037,South,Tamil Nadu,BR167,UPI,59471.85,Failed,tablet,Corporate,2024-08-28 17:59:00,legit
TX00135,AC40968,South,Karnataka,BR132,UPI,31611.52,Success,web,Individual,2024-07-17 02:58:00,legit
TX00136,AC92306,West,Goa,BR196,MANDATE,80998.69,Success,tablet,Corporate,2024-07-14 17:46:00,fake_cheque
TX00137,AC71462,West,Rajasthan,BR135,NEFT,34334.93,Success,mobile,Corporate,2024-08-12 00:41:00,fake_cheque
TX00138,AC17456,East,Bihar,BR109,NEFT,43558.77,Success,ATM,Corporate,2024-08-22 19:44:00,legit
TX00139,AC15376,West,Gujarat,BR141,MANDATE,66270.34,Success,mobile,Corporate,2024-07-10 10:06:00,legit
TX00140,AC55015,South,Karnataka,BR105,UPI,25382.71,Success,ATM,Individual,2024-08-03 02:56:00,amount_tampering
TX00141,AC47079,West,Goa,BR199,CHEQUE,54549.2,Success,mobile,Corporate,2024-07-06 23:59:00,timing_anomaly
TX00142,AC83133,West,Rajasthan,BR132,UPI,76142.86,Success,web,Corporate,2024-07-29 05:42:00,legit
TX00143,AC96787,West,Gujarat,BR176,NEFT,17850.34,Success,ATM,Corporate,2024-07-12 15:10:00,legit
TX00144,AC99838,South,Andhra Pradesh,BR165,CHEQUE,53692.68,Success,tablet,Individual,2024-07-20 11:54:00,timing_anomaly
TX00145,AC73736,North,Punjab,BR117,UPI,55197.66,Success,mobile,Individual,2024-07-31 15:40:00,legit
TX00146,AC91006,North,Haryana,BR119,UPI,65636.46,Success,web,Corporate,2024-07-04 23:26:00,amount_tampering
TX00147,AC98652,North,Haryana,BR178,CHEQUE,25260.99,Success,ATM,Individual,2024-08-18 14:33:00,incorrect_account
TX00148,AC71474,North,Uttar Pradesh,BR186,MANDATE,23590.87,Success,tablet,Corporate,2024-08-15 18:36:00,legit
TX00149,AC31241,North,Punjab,BR132,NEFT,60438.83,Success,tablet,Individual,2024-08-16 23:01:00,legit
TX00150,AC47363,South,Karnataka,BR134,MANDATE,55939.69,Failed,web,Corporate,2024-07-09 08:21:00,legit
TX00151,AC39102,West,Rajasthan,BR103,MANDATE,55009.86,Success,tablet,Individual,2024-08-05 03:35:00,legit
TX00152,AC59140,North,Delhi,BR140,NEFT,56928.96,Success,tablet,Individual,2024-07-13 12:35:00,duplicate_payment
TX00153,AC71925,North,Haryana,BR157,NEFT,36399.51,Failed,mobile,Corporate,2024-07-20 15:06:00,legit
TX00154,AC81932,West,Maharashtra,BR199,CHEQUE,54645.07,Success,mobile,Individual,2024-07-22 16:52:00,amount_tampering
TX00155,AC91633,West,Maharashtra,BR114,MANDATE,55861.45,Success,mobile,Individual,2024-07-14 01:38:00,unauthorized_device
TX00156,AC10205,East,Odisha,BR173,MANDATE,35712.97,Success,mobile,Corporate,2024-07-07 03:50:00,legit
TX00157,AC81313,South,Andhra Pradesh,BR160,NEFT,87315.49,Success,tablet,Corporate,2024-07-02 11:28:00,timing_anomaly
TX00158,AC18855,East,Odisha,BR193,NEFT,59476.66,Success,tablet,Individual,2024-07-05 00:51:00,timing_anomaly
TX00159,AC54374,North,Haryana,BR189,MANDATE,26173.93,Success,web,Individual,2024-08-11 15:48:00,duplicate_payment
TX00160,AC36422,South,Karnataka,BR105,CHEQUE,63131.07,Failed,ATM,Corporate,2024-07-24 01:22:00,duplicate_payment
TX00161,AC94790,North,Uttar Pradesh,BR145,NEFT,30506.37,Failed,tablet,Corporate,2024-07-12 07:55:00,legit
TX00162,AC67272,West,Goa,BR149,CHEQUE,65741.69,Pending,ATM,Corporate,2024-08-03 10:28:00,legit
TX00163,AC78062,East,West Bengal,BR193,MANDATE,73171.91,Success,web,Corporate,2024-07-30 05:41:00,signature_mismatch
TX00164,AC52981,East,Bihar,BR157,MANDATE,33586.35,Success,ATM,Corporate,2024-08-10 16:46:00,duplicate_payment
TX00165,AC56210,West,Rajasthan,BR181,NEFT,69267.52,Success,ATM,Corporate,2024-08-16 16:51:00,legit
TX00166,AC99051,North,Delhi,BR118,MANDATE,58255.62,Success,mobile,Individual,2024-08-28 17:22:00,timing_anomaly
TX00167,AC60181,South,Karnataka,BR186,MANDATE,66441.2,Failed,tablet,Corporate,2024-07-07 23:57:00,legit
TX00168,AC79397,East,Jharkhand,BR140,CHEQUE,87935.86,Success,mobile,Individual,2024-07-17 22:25:00,legit
TX00169,AC60723,South,Kerala,BR199,CHEQUE,45092.24,Success,web,Corporate,2024-08-14 17:02:00,incorrect_account
TX00170,AC27790,South,Andhra Pradesh,BR122,MANDATE,34925.28,Pending,tablet,Corporate,2024-07-06 21:51:00,legit
TX00171,AC48058,East,Odisha,BR191,UPI,32209.71,Success,web,Individual,2024-07-19 07:02:00,legit
TX00172,AC41029,West,Maharashtra,BR146,CHEQUE,33683.79,Success,web,Individual,2024-07-06 23:37:00,timing_anomaly
TX00173,AC72739,West,Goa,BR173,NEFT,48457.97,Success,tablet,Individual,2024-08-10 22:59:00,fake_cheque
TX00174,AC77811,East,Odisha,BR199,UPI,56823.04,Success,web,Corporate,2024-08-15 18:31:00,legit
TX00175,AC17263,South,Karnataka,BR138,UPI,55533.82,Success,web,Corporate,2024-08-17 05:32:00,legit
TX00176,AC20336,East,Odisha,BR181,CHEQUE,66543.66,Success,tablet,Individual,2024-08-15 17:53:00,legit
TX00177,AC87569,North,Punjab,BR184,CHEQUE,50260.04,Success,mobile,Individual,2024-07-08 09:26:00,duplicate_payment
TX00178,AC94076,East,Odisha,BR198,MANDATE,79070.68,Success,mobile,Corporate,2024-08-27 02:03:00,legit
TX00179,AC94136,East,Jharkhand,BR131,MANDATE,44706.86,Success,mobile,Individual,2024-07-15 09:19:00,fake_cheque
TX00180,AC73471,West,Gujarat,BR143,UPI,104403.38,Success,tablet,Corporate,2024-08-06 07:00:00,mandate_violation
TX00181,AC58567,South,Kerala,BR130,MANDATE,62513.35,Success,ATM,Individual,2024-07-13 19:45:00,signature_mismatch
TX00182,AC48038,West,Goa,BR131,UPI,32856.85,Success,tablet,Individual,2024-07-15 12:05:00,legit
TX00183,AC77466,West,Goa,BR139,MANDATE,28582.15,Success,ATM,Corporate,2024-07-22 21:52:00,incorrect_account
TX00184,AC56254,South,Tamil Nadu,BR136,MANDATE,59649.45,Success,ATM,Corporate,2024-08-18 20:25:00,duplicate_payment
TX00185,AC24089,West,Gujarat,BR133,CHEQUE,45530.74,Success,tablet,Individual,2024-08-06 11:05:00,duplicate_payment
TX00186,AC83638,North,Uttar Pradesh,BR170,CHEQUE,64280.01,Success,ATM,Corporate,2024-08-26 17:29:00,legit
TX00187,AC25572,North,Delhi,BR150,CHEQUE,59464.75,Success,tablet,Corporate,2024-07-14 03:09:00,incorrect_account
TX00188,AC76731,West,Maharashtra,BR105,NEFT,48543.42,Success,tablet,Corporate,2024-08-17 06:29:00,fake_cheque
TX00189,AC89463,North,Uttar Pradesh,BR178,CHEQUE,33064.13,Success,tablet,Corporate,2024-08-16 04:14:00,legit
TX00190,AC79774,West,Rajasthan,BR160,NEFT,19703.06,Success,mobile,Corporate,2024-08-23 03:07:00,timing_anomaly
TX00191,AC92478,South,Andhra Pradesh,BR133,UPI,41069.7,Success,ATM,Individual,2024-08-17 17:12:00,legit
TX00192,AC91230,West,Gujarat,BR187,UPI,67127.98,Success,mobile,Individual,2024-07-02 17:22:00,fake_cheque
TX00193,AC64890,North,Haryana,BR188,UPI,54281.87,Success,ATM,Individual,2024-07-13 13:38:00,legit
TX00194,AC83516,East,Jharkhand,BR167,MANDATE,25085.22,Success,web,Corporate,2024-08-18 12:38:00,timing_anomaly
TX00195,AC56437,East,Jharkhand,BR124,UPI,53463.62,Success,tablet,Individual,2024-07-28 02:08:00,legit
TX00196,AC37168,West,Rajasthan,BR161,CHEQUE,57706.35,Success,tablet,Corporate,2024-07-12 02:14:00,legit
TX00197,AC81197,West,Goa,BR144,UPI,32322.85,Success,tablet,Individual,2024-08-01 12:38:00,legit
TX00198,AC95979,East,Jharkhand,BR127,UPI,53074.5,Success,tablet,Corporate,2024-07-13 11:52:00,signature_mismatch
TX00199,AC86917,North,Punjab,BR106,UPI,51164.17,Success,mobile,Individual,2024-08-07 14:52:00,timing_anomaly
TX00200,AC71918,South,Karnataka,BR100,UPI,27140.59,Success,ATM,Corporate,2024-08-29 05:07:00,incorrect_account
TX00201,AC47649,East,Bihar,BR182,NEFT,57155.75,Failed,mobile,Individual,2024-08-18 17:03:00,legit
TX00202,AC14888,North,Haryana,BR122,NEFT,61215.69,Pending,ATM,Corporate,2024-07-17 23:00:00,legit
TX00203,AC47941,South,Tamil Nadu,BR138,NEFT,71661.02,Failed,tablet,Corporate,2024-08-11 08:32:00,legit
TX00204,AC81211,West,Gujarat,BR164,MANDATE,71076.04,Success,mobile,Corporate,2024-07-15 18:58:00,legit
TX00205,AC94972,East,Odisha,BR101,CHEQUE,22446.61,Success,web,Individual,2024-08-25 14:39:00,legit
TX00206,AC63148,West,Rajasthan,BR111,MANDATE,31243.5,Success,web,Individual,2024-08-13 11:00:00,timing_anomaly
TX00207,AC42512,South,Kerala,BR149,UPI,60300.71,Success,tablet,Corporate,2024-07-28 11:36:00,legit
TX00208,AC85088,South,Kerala,BR183,CHEQUE,60275.72,Success,mobile,Individual,2024-08-12 08:40:00,timing_anomaly
TX00209,AC63138,East,West Bengal,BR181,CHEQUE,60300.95,Success,web,Individual,2024-07-13 03:47:00,fake_cheque
TX00210,AC69634,East,Jharkhand,BR189,MANDATE,127054.63,Success,web,Individual,2024-08-24 05:34:00,legit
TX00211,AC20730,West,Rajasthan,BR109,NEFT,61417.81,Success,web,Individual,2024-07-15 23:26:00,timing_anomaly
TX00212,AC78202,West,Maharashtra,BR187,UPI,72711.31,Success,ATM,Individual,2024-08-16 10:55:00,fake_cheque
TX00213,AC17292,West,Gujarat,BR165,MANDATE,69080.04,Success,mobile,Corporate,2024-07-29 01:12:00,legit
TX00214,AC61897,East,West Bengal,BR195,UPI,63027.83,Success,mobile,Corporate,2024-08-01 08:38:00,legit
TX00215,AC80931,South,Tamil Nadu,BR160,NEFT,43694.62,Success,web,Individual,2024-08-28 09:25:00,legit
TX00216,AC94656,West,Rajasthan,BR148,MANDATE,65179.38,Failed,ATM,Corporate,2024-07-08 07:18:00,legit
TX00217,AC96742,North,Uttar Pradesh,BR115,UPI,34543.5,Pending,ATM,Individual,2024-07-21 06:28:00,legit
TX00218,AC12979,East,Jharkhand,BR186,MANDATE,45263.63,Success,web,Individual,2024-08-11 22:15:00,timing_anomaly
TX00219,AC46129,North,Delhi,BR104,MANDATE,40292.73,Success,mobile,Individual,2024-07-19 18:11:00,signature_mismatch
TX00220,AC87849,South,Andhra Pradesh,BR176,NEFT,51637.48,Success,mobile,Corporate,2024-08-09 22:55:00,incorrect_account
TX00221,AC38477,South,Karnataka,BR164,CHEQUE,96293.17,Success,tablet,Corporate,2024-07-22 13:31:00,unauthorized_device
TX00222,AC28777,North,Haryana,BR138,CHEQUE,12654.7,Success,web,Corporate,2024-08-20 14:16:00,legit
